"nodegoat ID","Object ID",Name
ngWD3A68iYDOjXjI6XF4gltJxXK,14392636,Philoktetes
ngSZ3O28eSJKfTfE2SL0chpntUG,14392632,"Krataemenes of Kyme"
ngPW2L98bPcH9QcL9Po7aemQqPj,14392629,"Perieres of Chalkis"
ngNU2J78zOEF1Oah7Om5xckWoNh,14392627,Archias
ngFM1F98rFsX0GsT9Ge71ucCgHT,14392619,Epeus
ngVC0D98hViNgWit9Vu74ksSwGJ,14392609,Evander
ngSZ0m68eUZKcTfE6TB4ehpntDG,14392606,Aneas
ngPW2L98bPcH9QcL9PY73emUqQD,14391829,Teucer
ngOV2K88aPFGbPbi8PH63dljpPC,14391828,"Ajax son of Teucer"
ngMT2I68yMTE9NzA6NV47bjNnNg,14389026,Horace
ngEL7u08qFbWpFrM0FX8rtbdfEy,12378470,"Excerpta Constantiniana"
ngYF3C88kYvQ3ZlC8Y968nvRzZs,13038438,Triptolemos
ngZG3D98lZwRkAmx9Zy7kowWaZN,14341739,Diomedes
ngDK1D78pDKVpEqL7Dc51saEeDx,14345317,Sthenelos
ngCJ1Y68oEJUnDpO6CL46rzxdNQ,14345316,Sinon
ngXE1n18jYEP3YkB1ZG92muUyIL,14345311,Periphetes
ngBI9v38nDSToCoT3BU13qyUcBv,14345293,Palamedes
ngXE8v98jXuPkYkJ9X071musyYL,14345289,Machaon
ngEL4I48qELW7FrI4FN27tbvfEy,14341744,Leonteus
ngSZ8q48eTfK7Tfq4UL29hpXtTG,14345284,Euryalos
ngPW8f18bPGH6QcT1RI9cemYqQj,14345281,Epeios
ngUB3Y48gVhM6VhU4U524jrHvWI,14343734,Krethon
ngNU2J78zOEF1OaN7Om5yckWoNh,14343727,Antilochos
ngGN7w28sHdY3HtU2HP06vdLhHU,14342172,"Agelaos - Achaian"
ngIP7y48uKZA5JvI4JB2uxfFjIW,14342174,"Aias the lesser"
ngHO7x38tJOZ5Iuf3HA17weciHV,14342173,"Aias the greater"
ngFM7v18rGsXsGsR1G292ucegFz,14342171,Agapenor
ngDK6x98pDqV2EqD9DM74saAeDR,14342169,Elephenor
ngCJ6s88oEJU2Dps8DL6mrzxdDQ,14342168,Demophon
ngZG6H58lZmR7Amp5A638owyaZt,14342165,Acamas
ngHO7x38tJOZ5Iub3JA15weMiJV,14341973,Odysseus
ngNU7Z98zPEF3Oal9O07yckWoNh,14341979,Dardanos
ngMT7c88yMzE3Nzg8Ml69bjhnOA,14341978,Jason
ngWD6E28iXtO5XjK2YP05ltJxXK,14341962,Amphilochos
ngUB6C08gVLM5VhQ0U181jrDvVo,14341960,Kassandra
ngBI4F18nCST6CoT1DK92qyUcCv,14321441,Agamemnon
ngTA5B98fUqLdUgF9VC7eiqIuUH,14341959,Neoptolemos
ngFM4J58rFWX9GsJ5GO30ucagGT,14341745,Polypoites
ngEL1A88qGLWrFry8Fd68tbBfFS,13961218,Nestor
ngKR5W08wLBC0Lxi0Lj80zhPlKY,14321250,Menelaos
ngVC3Z58hWsNhWiZ5WE3iksWwWp,14341735,Achilles
ngUB8M68gULMeVhI6WD47jrRvUq46,14341686,Iphigeneia
ngSZ8q48eTfK8TfK4SL27hpFtUG,14341684,"Alexander (Trojan)"
ngTA8r58fUqL8Ugn5UM3eiqkuTn,14341685,Helen
ngRY8D38dTYJ4Seh3RA13gomsSF,14341683,Aineias
ngGN2G08sGdY0HtY0G18svdDhGU,14341120,Spermo
ngFM1F98rFsX9GsB9Ge7sucCgFT,14341119,Oino
ngCJ1Y68oEJUmDpY6CL40rzxdNQ,14341116,Elais
ngFM4J58rFWX9GsF5F637ucwgGz,14321245,Proclus
ngIP4I88uJvAvJvE8Jh68xfhjJc,14311248,Podaleirios
ngUB8s68gWBM1VhQ6VN47jrNvUo,14235886,Amphiareus
ngUB6C08gVLM5VhM0WN82jrpvVI,14235760,Calchas
ngSZ5E88eSZKdTfS8SB60hpPtUG,14235758,Euphorion
ngRY5D78dRoJeSeh7RK5bgomsRF,14235757,Teiresias
ngPW5B58bPGHaQcn5RI3bemkqPD,14235755,Mopsos
ngOV5A48aOFGbPbi4QH24dlLpOC,14235754,Manto
ngFM1F98rFcX1GsT9F07pucUgFT,14000919,Lampon
ngEL1A88qGLW8FrW8Ed61tbzfES,14000918,Xenokrites
ngPW0H38bQmH3Qcn3PI1zemEqRD,14000903,Justin
ngMT0E08yNDEwNzA0MF85bjBnMA,14000900,"Timaeos of Tauromenion"
ngXE8v98jXkPiYkv9ZG72muYyYr,14000789,"Heraklides Lembus"
ngFM9z78rGWXpGsX7G85sucegFz,13962597,Artimedes
