"nodegoat ID","Object ID",Name,"Source Object ID","Source Value",Analysis,"MIGMAG Study Region","MIGMAG Study Region - Object ID",Region,"Region - Object ID","Partner Project ID (add GPS location below)","Pleiades Link","DAI Gazetteer Link","ToposText Link","Geography and topography","Geography and topography - Object ID",Notes,"[GPS Location] Sub-Object ID","[GPS Location] Location Reference","[GPS Location] Location Reference - Object ID","[GPS Location] Geometry"
ngZG1R38lZwRkAwDjAI15owOaKN,14341713,Tauris,,,,None,11945199,"Pontus Euxinus",12443620,,https://pleiades.stoa.org/places/226778,,https://topostext.org/place/453343RChe,Peninsula,13960734,"Also known as: Taurike Chersonesos
Region of modern Krim peninsula.",21061667,,0,"{""type"": ""Point"", ""coordinates"": [33.893124034366, 45.097508121189]}"
ngNU0F18zOEFxOkBxPG9ackCoOB,14341701,Aulis,,,,None,11945199,Boiotia,12411990,,https://pleiades.stoa.org/places/579889,https://gazetteer.dainst.org/place/2287045,,Coastal,13960730,,21061668,,0,"{""type"": ""Point"", ""coordinates"": [23.5936545, 38.4302595]}"
ngAH1u48mBHS7BxSkAJ26pzlbCO,14341114,Rhoiteion,,,,None,11945199,Troad,12409576,,https://pleiades.stoa.org/places/550856,,https://topostext.org/place/400263URho,Coastal,13960730,"Ῥοίτειον - Rhoiteion, Archaic to Hellenistic settlement, Baba kale SW of Erenköy, Turkey",21061669,,0,"{""type"": ""Point"", ""coordinates"": [26.301720900000003, 40.0079714]}"
ngMT0E08yNDEzNjIwMV81bjBnMA,14321500,Megiste,,,,None,11945199,"Aegean Islands",12409567,,https://pleiades.stoa.org/places/638989,https://gazetteer.dainst.org/place/2362075,,Island,14186481,"Also known as Kastelorizo.",21061670,,0,"{""type"": ""Point"", ""coordinates"": [29.591336699999996, 36.1525561]}"
ngEL1E88qEVWrFbuoGX61tbXfFy,14345318,Kalydon,,,,None,11945199,Aitolia,12411989,,https://pleiades.stoa.org/places/540699,https://gazetteer.dainst.org/place/2070215,https://topostext.org/place/384215UKal,Hillside,13960731,,21061658,,0,"{""type"": ""Point"", ""coordinates"": [21.5331825, 38.372926]}"
ngTA3L38fVALfUqrdVC18iqUuUn,14343733,Pherai,,,,None,11945199,Peloponnese,12409563,,https://pleiades.stoa.org/places/570596,https://gazetteer.dainst.org/place/2090104,https://topostext.org/place/370221UPhe,Coastal,13960730,,21061659,,0,"{""type"": ""Point"", ""coordinates"": [22.1109392, 37.0377582]}"
ngEL7y08qEbW1FbcoEN81tbzfGS,14342170,Paphos,,,,None,11945199,Cyprus,12409560,,https://pleiades.stoa.org/places/707596,https://gazetteer.dainst.org/place/2044214,https://topostext.org/place/348324PPap,Coastal,13960730,,21061660,,0,"{""type"": ""Point"", ""coordinates"": [32.579086, 34.7053255]}"
ngBI6v78nBST2CyPlBU59qywcBP,14342167,Bisaltia,,,,None,11945199,"Northern Greece",12427799,,https://pleiades.stoa.org/places/491547,https://gazetteer.dainst.org/place/2361496,,Uplands,14016048,"Region of ancient Thrace, later Macedon",21061661,,0,"{""type"": ""Point"", ""coordinates"": [23.460348060058, 40.955313069331]}"
ngLS7b78xMCD2MifvLE5yaikmLf,14341977,Mariandynoi,,,,None,11945199,"Pontus Euxinus",12443620,,https://pleiades.stoa.org/places/845013,,https://topostext.org/place/409312RMar,Coastal,13960730,"Region south of the Black sea, equivalent to the name of the pontic tribe living in the area.",21061662,,0,"{""type"": ""Point"", ""coordinates"": [31.441378988729, 41.003526249203]}"
ngKR7a68wKRC1LhKuMT40zhDlKe,14341976,Salmydessos,,,,None,11945199,"Pontus Euxinus",12443620,,https://pleiades.stoa.org/places/511405,https://gazetteer.dainst.org/place/2044059,https://topostext.org/place/416281USal,Coastal,13960730,,21061663,,0,"{""type"": ""Point"", ""coordinates"": [28.36550427839, 41.453190951954]}"
