nodegoat ID,Object ID,Name,Traveller Type
ngZG9x18lAmRmAmR1ZS93owEaZN,11945191,Herodotos,Author
ngAH9u28mBnS7Bnq2Az0npxPbBO,12035292,Theseus,Traveller: mythical
ngHO9b98tJYZtIuZ9JQ73weMiIV,12042299,Homer,Author
ngSZ0K68eTZK6TfW6UL49hpHtSG,12042306,Ion of Chios,Author
ngVC0Z98hVMNhWip9VE73ksAwGJ,12042309,Nikander of Kolophon,Author
ngGN7a28sGNY7HtO2GP0tvdLhGU,12042372,Olympichos,Author
ngIP7y48uKPA9JvW4KB25xfVjJW,12042374,Panyassis,Author
ngOV8e08aObG4PbS0PH83dlBpPC,12042380,Xenophanes of Kolophon,Author
ngQX8g28cQnI6Rdk2Q30afnDrQE,12042382,Thucydides,Author
ngVC6D18hVCN4WiV1VO9gksmwWp,12150561,Ailianos,Author
ngWD6E28iWNO3XjS2X307ltrxYK,12150562,Aelius Aristeides,Author
ngXE6F38jYkP7YkT3ZQ14muUyXL,12150563,Agias,Author
ngYF6G48kZvQ8ZlU4Yx2lnvpzYs,12150564,Alkidamas,Author
ngZG6H58lAGR7AmV5ZS3jowEaBN,12150565,Alexander of Aetolia,Author
ngAH6I68mBRS7BnA6Bz4kpxrbBu,12150566,Ammianus Marcellinus,Author
ngBI6r78nDST0CoN7BK5oqyCcCv,12150567,Anakreon,Author
ngCJ6s88oDpU0Dpw8EL60rzPdCQ,12150568,Harpokration,Author
ngDK6t98pEqV9Eqt9DW79saEeDx,12150569,Hekataios,Author
ngEL7u08qFbW1FrW0E18rtbRfFS,12150570,Hegesippus,Author
ngIP7c48uIZA6JvW4I525xfBjJc,12150574,Herodotos,Author
ngJQ7z58vJAB0KwR5JC37ygikKd,12150575,Heropythos,Author
ngKR7W68wMRC0LxW6K74uzhTlKe,12150576,Hesychios,Author
ngMT7Y88yNzE2NzU8MF61bjdnMg,12150578,Homeric Hymns,Author
ngNU7d98zOUFxOaN9O07yckAoNB,12150579,Hyginus,Author
ngOV8e08aObG5PbW0O18zdljpQC,12150580,Iamblichos,Author
ngQX8g28cQnI5Rdo2Q30cfnprQk,12150582,Isokrates,Author
ngRY8h38dRYJ6SeF3SA1dgoWsRF,12150583,Kadmos,Author
ngTA8r58fUKL9UgF5Ts39iqouTH,12150585,Konon,Author
ngUB8s68gUhM8VhY6VN4gjrlvVo,12150586,Kreophylos,Author
ngVC8t78hVsN9WiV7XO5gksWwWp,12150587,Kritias,Author
ngWD8u88iYDO3XjE8XP63ltBxYK,12150588,Libanios,Author
ngXE8v98jZOP2YkF9Xw72muUyXL,12150589,Lykourgos,Author
ngYF9w08kZlQ2ZlK0AR83nvLzZM,12150590,Malakos,Author
ngZG9x18lAwR4AmV1BS9kowMaBN,12150591,Maximus of Tyre,Author
ngAH9u28mBnSkBnq2AJ0npxPbCO,12150592,Menekrates of Elea,Author
ngBI9v38nCIT8Cov3B415qyUcCv,12150593,Menodotos,Author
ngCJ9w48oDJUmDpG4D52mrzbdCw,12150594,Metrodoros,Author
ngDK9x58pDqV0Eqt5EM36saAeFR,12150595,Mimnermos,Author
ngEL9c68qEbWpFrc6E741tbNfFy,12150596,Nearchos,Author
ngGN9e88sGXYrHtY8Hf6rvdVhIU,12150598,Nikolaos of Damaskos,Author
ngHO9b98tJYZ4IuV9HQ70weUiHV,12150599,Nonnus,Author
ngNU0F18zNUF6OaN1NW9ackioPB,12150601,Oppianos,Author
ngOV0G28aOFG7Pbm2OH04dlLpPC,12150602,Ovid,Author
ngQX0k48cRdIaRdE4Q52bfnNrBE,12150604,Parthenios,Author
ngRY0J58dSoJbSeN5RA35goWsSF,12150605,Pausanias,Author
ngSZ0K68eTZKcTfK6TB4ehpntSG,12150606,Phanodikos,Author
ngTA0L78fTgL0Ugr7Us58iqYuTH,12150607,Pherekydes,Author
ngUB0M88gUrM1VhQ8VN63jrpvVI,12150608,Philiskos of Miletos,Author
ngVC0V98hViN4WiD9WE74ksIwGJ,12150609,Philostephanos,Author
ngWD1S08iWjOhXjO0X180ltBxHK,12150610,Philostratos,Author
ngXE1P18jXEPhYkv1X296muKyIL,12150611,Pindar,Author
ngYF1Q28kYPQlZlU2YR06nxjzYC,12150612,Plato,Author
ngZG1p38lAQRlAmN3Zy15owOaKN,12150613,Pliny the Elder,Author
ngAH1q48mAxS5BnO4AT29pxNbLO,12150614,Plutarch,Author
ngBI1N58nBIT9CoX5Ca3lqyGcMP,12150615,Polyainos,Author
ngCJ1K68oCzU6DpU6EV48rzHdNQ,12150616,Polybius,Author
ngDK1Z78pFKVqEqV7FM50saueDx,12150617,Pomponius Mela,Author
ngEL1A88qGVWoFrM8EN63tbFfFy,12150618,Pseudo-Hesiod,Author
ngFM1B98rGsXqGsX9GO7sucYgGz,12150619,Pseudo-Apollodoros,Author
ngGN2C08sHdYqHtC0H18tvdbhHU,12150620,Pseudo-Herodotos,Author
ngHO2H18tHuZtIuZ1H292weyiHb,12150621,Pseudo-Plutarch,Author
ngIP2I28uIfAtJvM2Ih0sxfJjIc,12150622,Quintus Smyrnaeus,Author
ngJQ2J38vJQBuKwJ3KS16ygakJd,12150623,Schol. Apol. Rhod.,Author
ngKR2G48wMRC9LxG4KT2vzhblLe,12150624,Schol. Arat. Phaen.,Author
