nodegoat ID,Object ID,Name,Region,[GPS Location] Geometry
ngLS2H58xLCD5MiDvLE3waiYmLZ,11943325,Athina,Attika,"{""type"": ""Point"", ""coordinates"": [23.722746101726, 37.972633872616]}"
ngXE3B78jXuP0YuXhXQ5hmuCyYL,11945237,Soli,Cilicia Aspera,"{""type"": ""Point"", ""coordinates"": [34.539221666667, 36.740055666667]}"
ngHO4H78tJOZ2IebrJA51weMiJV,11945547,Ionia,Ionia,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[26.8560791015625, 38.749799358878526], [26.817626953125, 38.78406349514289], [26.69677734375, 38.77121637244273], [26.427612304687504, 38.736946065676], [26.3287353515625, 38.71551876930462], [26.048583984374996, 38.66406704456943], [25.9442138671875, 38.65119833229951], [25.801391601562496, 38.59970036588819], [25.806884765624996, 38.51378825951165], [25.949707031250004, 38.38042167460681], [25.938720703125, 38.32011084501538], [25.856323242187504, 38.28562496668376], [25.86181640625, 38.238180119798635], [26.021118164062496, 38.112949789189614], [26.323242187499996, 37.84015683604136], [26.559448242187496, 37.70555348721583], [26.630859375, 37.68382032669382], [26.6693115234375, 37.69251435532741], [26.773681640624996, 37.6359849542696], [27.026367187500004, 37.622933594900864], [27.147216796875, 37.60552821745789], [27.213134765625004, 37.50972584293751], [27.2021484375, 37.42688834526727], [27.2076416015625, 37.36579146999664], [27.2845458984375, 37.35705927979369], [27.438354492187504, 37.322120359451766], [27.48779296875, 37.34832607355296], [27.5592041015625, 37.41816326969145], [27.5537109375, 37.51844023887861], [27.5482177734375, 37.56635122499224], [27.520751953125, 37.69251435532741], [27.542724609374996, 37.87051721701939], [27.4932861328125, 38.004819966413194], [27.4053955078125, 38.156156969924915], [27.410888671874996, 38.34596449365382], [27.317504882812496, 38.55246141354153], [27.169189453125, 38.758366935612784], [26.9549560546875, 38.788345355085625], [26.8560791015625, 38.749799358878526]]]}]}"
ngBI9v38nCyT8CyJlBU13qyYcDP,12035293,Korinth,Peloponnese,"{""type"": ""Point"", ""coordinates"": [22.881545291764, 37.906399779089]}"
ngRY0J58dSoJ5SoNbTK30goAsSl,12042005,Argos,Argolid,"{""type"": ""Point"", ""coordinates"": [22.719464, 37.631561]}"
ngZG1t38lZmR7AwNjA41kowMaKN,12042013,Tiryns,Peloponnese,"{""type"": ""Point"", ""coordinates"": [22.799722, 37.599444]}"
ngHO2H18tHeZ4IexrH29uweyiHb,12042021,Asine,Argolid,"{""type"": ""Point"", ""coordinates"": [22.868915, 37.5358925]}"
ngSZ3O28eSpK5TpKcSL04hpjtSm,12042032,Tegea,Peloponnese,"{""type"": ""Point"", ""coordinates"": [22.420672, 37.455301]}"
ngEL4E48qFVW7FbSoFd24tbRfFS,12042044,Midea,Argolid,"{""type"": ""Point"", ""coordinates"": [22.84177440482399, 37.65026240785721]}"
ngMT0E08yMjEwNjQwMl8ybjBnMA,12042200,Kenchreai,Peloponnese,"{""type"": ""Point"", ""coordinates"": [22.992532, 37.88239]}"
